"DTC_CNT","FUELSYSA","FUELSYSB","LOAD_PCT(%)","ECT(¡£C)","SHRTFT1(%)","LONGFT1(%)","MAP(kPa)","RPM(rpm)","VSS(km/h)","SPARKADV(¡£)","IAT(¡£C)","MAF(g/s)","TP(%)","O2S11(V)","SHRTFT11(%)","O2S12(V)","SHRTFT12(%)","OBDSUP","RUNTM(sec)","MIL_DIST(Km)","EVAP_PCT(%)","FLI(%)","WARM_UPS","CLR_DIST(Km)","BARO(kPa)","CATEMP11(¡£C)","VPWR(V)","LOAD_ABS(%)","LAMBDA	","TP_R(%)","AAT(¡£C)","TP_B(%)","APP_D(%)","APP_E(%)","TAC_PCT(%)"
"0","CL","--","27.5","65","-1.6","-3.9","32.0","808.00","0nn","4.0","40","2.24","23.1","0.735","-1.6","1.275","99.2","EOBD","217","0","11.4","100.0","0","0","83","465.0","14.683","17.3","0.999","9.4","40","22.0","20.0","10.2n","13.3"
"0","CL","--","27.5","66","-3.9","-4.7","32.0","805.00","0","5.0","40","2.25","23.1","0.470","-3.9","1.275","99.2","EOBD","219","0","11.4","100.0","0","0","83","465.0","14.627","17.6","0.999","9.4","40","22.4","20.0","10.2","13.3"
"0","CL","--","27.5","66","-1.6","-4.7","32.0","812.00","0","3.5","40","2.24","23.1","0.700","-1.6","1.275","99.2","EOBD","220","0","11.8","100.0","0","0","83","465.0","14.586","17.3","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","66","-2.3","-4.7","32.0","811.00","0","3.5","40","2.22","23.1","0.640","-3.9","1.275","99.2","EOBD","221","0","11.8","100.0","0","0","83","465.0","14.580","17.6","0.999","9.4","40","22.4","20.0","10.2","13.3"
"0","CL","--","27.8","66","-0.8","-5.5","32.0","809.00","0","4.0","40","2.22","23.1","0.250","0.0","1.275","99.2","EOBD","223","0","11.8","100.0","0","0","83","465.0","14.683","17.3","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.1","66","-3.9","-5.5","32.0","800.00","0","6.0","40","2.20","22.7","0.685","-3.9","1.275","99.2","EOBD","224","0","11.8","100.0","0","0","83","465.0","14.593","17.3","0.999","9.4","40","22.4","20.0","9.8","13.7"
"0","CL","--","27.5","66","-6.3","-7.0","32.0","803.00","0","4.5","40","2.27","23.1","0.110","-1.6","1.275","99.2","EOBD","226","0","12.2","100.0","0","0","83","465.0","14.545","16.9","0.999","9.0","40","22.0","20.0","9.8","12.9"
"0","CL","--","27.1","66","-4.7","-7.8","32.0","799.00","0","6.0","40","2.22","23.1","0.165","-4.7","1.275","99.2","EOBD","228","0","12.2","100.0","0","0","83","465.0","14.669","17.3","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","66","0.0","-8.6","32.0","809.00","0","3.0","40","2.22","23.1","0.685","-3.1","1.275","99.2","EOBD","229","0","12.2","100.0","0","0","83","465.0","14.627","16.9","0.999","9.4","40","22.0","20.0","10.2","12.9"
"0","CL","--","27.5","66","-3.9","-8.6","32.0","799.00","0","5.5","40","2.20","23.1","0.335","-4.7","1.275","99.2","EOBD","231","0","12.2","100.0","0","0","83","465.0","14.586","17.6","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","66","-3.1","-9.4","32.0","813.00","0","3.0","40","2.20","23.1","0.710","-3.1","1.275","99.2","EOBD","232","0","12.2","100.0","0","0","83","465.0","14.627","17.3","0.999","9.4","40","22.0","20.0","10.2","13.7"
"0","CL","--","28.6","66","-3.9","-10.2","32.0","804.00","0","3.5","40","2.24","23.1","0.665","-2.3","1.275","99.2","EOBD","235","0","12.5","100.0","0","0","83","465.0","14.669","17.6","0.999","9.4","40","22.4","20.0","10.2","13.7"
"0","CL","--","27.8","67","0.8","-10.2","33.0","805.00","0","3.0","40","2.26","23.1","0.165","0.8","1.275","99.2","EOBD","236","0","12.5","100.0","0","0","83","465.0","14.663","17.6","0.999","9.4","40","22.4","20.0","10.2","13.7"
"0","CL","--","28.2","67","-3.1","-10.2","33.0","805.00","0","3.5","40","2.26","23.1","0.270","-3.1","1.275","99.2","EOBD","238","0","12.9","100.0","0","0","83","465.0","14.627","18.4","0.999","9.8","40","22.4","20.0","10.2","13.7"
"0","CL","--","29.0","67","1.6","-10.2","33.0","803.00","0","3.0","40","2.32","23.1","0.080","1.6","1.275","99.2","EOBD","239","0","12.9","100.0","0","0","83","465.0","14.614","18.4","0.999","9.8","40","22.4","20.0","10.2","13.7"
"0","CL","--","28.2","67","3.9","-9.4","33.0","800.00","0","3.5","40","2.28","23.1","0.080","4.7","1.275","99.2","EOBD","241","0","12.9","100.0","0","0","83","465.0","14.745","17.3","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","67","8.6","-8.6","32.0","811.00","0","3.0","40","2.16","22.7","0.660","3.9","1.275","99.2","EOBD","242","0","12.9","100.0","0","0","83","465.0","14.621","16.5","0.999","9.0","40","22.0","20.0","9.8","12.9"
"0","CL","--","26.3","67","2.3","-7.8","32.0","796.00","0","6.5","40","2.18","22.7","0.655","2.3","1.275","99.2","EOBD","243","0","12.9","100.0","0","0","83","465.0","14.586","17.3","0.999","9.4","40","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","67","0.0","-7.8","32.0","802.00","0","4.0","40","2.21","22.7","0.705","-1.6","1.275","99.2","EOBD","245","0","13.3","100.0","0","0","83","465.0","14.738","18.0","0.999","9.4","40","22.4","20.0","9.8","13.7"
"0","CL","--","28.6","67","2.3","-7.8","33.0","791.00","0","4.5","40","2.37","23.5","0.080","2.3","1.275","99.2","EOBD","246","0","13.7","100.0","0","0","83","465.0","14.710","17.6","0.999","9.4","40","22.0","20.0","10.2","12.9"
"0","CL","--","26.7","67","0.8","-7.8","33.0","800.00","0","4.0","40","2.18","22.7","0.715","0.8","1.275","99.2","EOBD","248","0","13.3","100.0","0","0","83","465.0","14.669","17.3","0.999","9.0","40","22.0","20.0","9.8","13.3"
"0","CL","--","27.1","67","-1.6","-7.8","32.0","804.00","0","4.0","40","2.20","22.7","0.490","-1.6","1.275","99.2","EOBD","249","0","13.7","100.0","0","0","83","465.0","14.683","17.3","0.999","9.0","40","22.0","20.0","10.2","12.9"
"0","CL","--","27.1","67","-0.8","-7.8","32.0","803.00","0","4.5","40","2.18","22.7","0.700","-0.8","1.275","99.2","EOBD","250","0","13.3","100.0","0","0","83","465.0","14.649","16.9","0.999","9.0","39","22.0","20.0","10.2","13.3"
"0","CL","--","27.5","67","-1.6","-7.8","32.0","799.00","0","5.0","40","2.18","22.7","0.695","-2.3","1.275","99.2","EOBD","252","0","13.7","100.0","0","0","83","465.0","14.627","17.3","0.999","9.4","39","22.0","20.0","10.2","13.7"
"0","CL","--","28.2","67","-5.5","-7.8","32.0","798.00","0","4.0","40","2.27","23.1","0.200","-6.3","1.275","99.2","EOBD","253","0","14.1","100.0","0","0","83","465.0","14.573","17.6","0.999","9.4","39","22.0","20.0","10.2","13.3"
"0","CL","--","27.1","68","-3.9","-8.6","33.0","797.00","0","5.0","40","2.19","23.1","0.705","-3.9","1.275","99.2","EOBD","255","0","13.7","100.0","0","0","83","465.0","14.545","17.3","0.999","9.4","39","22.0","20.0","9.8","13.3"
"0","CL","--","27.5","68","-0.8","-9.4","32.0","800.00","0","4.5","40","2.20","22.7","0.100","-0.8","1.275","99.2","EOBD","256","0","13.7","100.0","0","0","83","465.0","14.566","17.3","0.999","9.0","39","22.0","20.0","10.2","12.9"
"0","CL","--","26.7","68","-3.1","-9.4","32.0","795.00","0","5.0","40","2.13","22.7","0.700","-3.9","1.275","99.2","EOBD","257","0","14.1","100.0","0","0","83","465.0","14.614","17.6","0.999","9.4","39","22.0","20.0","10.2","13.3"
"0","CL","--","27.1","68","0.0","-10.2","33.0","801.00","0","3.0","40","2.18","22.7","0.620","-3.1","1.275","99.2","EOBD","259","0","14.1","100.0","0","0","83","465.0","14.580","17.3","0.999","9.0","39","22.0","20.0","10.2","12.9"
"0","CL","--","27.5","68","-3.9","-10.9","32.0","787.00","0","5.0","40","2.21","22.7","0.510","-4.7","1.275","99.2","EOBD","260","0","14.5","100.0","0","0","83","464.0","14.634","17.3","0.999","9.4","39","22.0","20.0","9.8","12.9"
"0","CL","--","27.1","68","-3.1","-10.9","32.0","795.00","0","4.0","40","2.18","22.7","0.685","-3.1","1.275","99.2","EOBD","262","0","14.1","100.0","0","0","83","464.0","14.745","17.3","0.999","9.4","39","22.0","20.0","9.8","13.3"
"0","CL","--","27.5","68","0.0","-11.7","32.0","798.00","0","3.0","40","2.18","22.7","0.110","0.0","1.275","99.2","EOBD","264","0","14.5","100.0","0","0","83","464.0","14.634","17.3","0.999","9.0","39","21.6","20.0","10.2","12.9"